sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,people
1,Male,22,All Ages,294,All causes,1,Number,2004,28189629.41,28969597.8,27432794.93,28189630
2,Female,22,All Ages,294,All causes,1,Number,2004,23687177.99,24338250.46,23068030.36,23687178
1,Male,22,All Ages,294,All causes,1,Number,2000,27399834.9,28182922.72,26640204.75,27399835
2,Female,22,All Ages,294,All causes,1,Number,2000,23316158.97,23927400.38,22770534.84,23316159
1,Male,22,All Ages,294,All causes,1,Number,2001,27567633.26,28390198.17,26826610.8,27567634
2,Female,22,All Ages,294,All causes,1,Number,2001,23431864.57,24062183.22,22794818.44,23431865
1,Male,22,All Ages,294,All causes,1,Number,2002,27837766.49,28651217.68,27070788.29,27837767
2,Female,22,All Ages,294,All causes,1,Number,2002,23617882.09,24265201.88,22969516.76,23617883
1,Male,22,All Ages,294,All causes,1,Number,2003,28025116.25,28809340.42,27218913.28,28025117
2,Female,22,All Ages,294,All causes,1,Number,2003,23677350.96,24343711.03,23054063.68,23677351
1,Male,22,All Ages,294,All causes,1,Number,2006,28179411.14,29030090,27344908.09,28179412
2,Female,22,All Ages,294,All causes,1,Number,2006,23682492.4,24300026.1,23123540.49,23682493
1,Male,22,All Ages,294,All causes,1,Number,2007,28252534.13,29060194.13,27425573.65,28252535
2,Female,22,All Ages,294,All causes,1,Number,2007,23631273.88,24273939.52,23018270.27,23631274
1,Male,22,All Ages,294,All causes,1,Number,2008,28673276.36,29576987.68,27817534.48,28673277
2,Female,22,All Ages,294,All causes,1,Number,2008,23793498.64,24420126.67,23205720.96,23793499
1,Male,22,All Ages,294,All causes,1,Number,2005,28333216.81,29185571.55,27518863.65,28333217
2,Female,22,All Ages,294,All causes,1,Number,2005,23773100.64,24432741.71,23173535.7,23773101
1,Male,22,All Ages,294,All causes,1,Number,2009,28567151.12,29393163.38,27663487.14,28567152
2,Female,22,All Ages,294,All causes,1,Number,2009,23642151.97,24299481.54,23038858.64,23642152
1,Male,22,All Ages,294,All causes,1,Number,2011,28825027.86,29789522.73,27939558.49,28825028
2,Female,22,All Ages,294,All causes,1,Number,2011,23871437.08,24574365.26,23194286.92,23871438
1,Male,22,All Ages,294,All causes,1,Number,2012,28960327.12,29950061.02,28034090.35,28960328
2,Female,22,All Ages,294,All causes,1,Number,2012,23897315.78,24599951.62,23237800.89,23897316
1,Male,22,All Ages,294,All causes,1,Number,2013,29118149.09,30164844.89,28089292.71,29118150
2,Female,22,All Ages,294,All causes,1,Number,2013,24069568.87,24804679.98,23392691.49,24069569
1,Male,22,All Ages,294,All causes,1,Number,2010,28872705.39,29743205.78,28051751.65,28872706
2,Female,22,All Ages,294,All causes,1,Number,2010,23839983.86,24468771.88,23242733.63,23839984
1,Male,22,All Ages,294,All causes,1,Number,2018,30280520.23,31965048.39,28550594.23,30280521
2,Female,22,All Ages,294,All causes,1,Number,2018,25436677.62,26747980.98,24207391.3,25436678
1,Male,22,All Ages,294,All causes,1,Number,2014,29246538.36,30289165.71,28221364.73,29246539
2,Female,22,All Ages,294,All causes,1,Number,2014,24277215.74,25089434.1,23504028.22,24277216
1,Male,22,All Ages,294,All causes,1,Number,2015,29509811.71,30599729.06,28444356.28,29509812
2,Female,22,All Ages,294,All causes,1,Number,2015,24589910.92,25449195.03,23768271.25,24589911
1,Male,22,All Ages,294,All causes,1,Number,2016,29740096.11,31104083.63,28383760.17,29740097
2,Female,22,All Ages,294,All causes,1,Number,2016,24807489.77,25826762.73,23915814.11,24807490
1,Male,22,All Ages,294,All causes,1,Number,2017,29941592.08,31447516.25,28399339.12,29941593
2,Female,22,All Ages,294,All causes,1,Number,2017,25035011.12,26243020.47,23944298.48,25035012
1,Male,22,All Ages,294,All causes,1,Number,2019,30682313.85,32516044.05,28786401.55,30682314
2,Female,22,All Ages,294,All causes,1,Number,2019,25844645.66,27278915.75,24401225.31,25844646
