,Males,Females
1915,30654,22128
1916,31018,23179
1917,27609,20420
1918,28585,21664
1919,37632,28298
1920,32053,24236
1921,30652,23424
1922,29245,22066
1923,31622,24614
1924,31103,23877
1925,31134,23434
1926,32387,24565
1927,32858,25424
1928,33145,26233
1929,34718,26139
1930,31148,24183
1931,31796,24764
1932,31860,24897
1933,33250,25867
1934,34571,27658
1935,35691,27908
1936,35651,28281
1937,36246,28250
1938,37046,29405
1939,38837,30310
1940,38608,29776
1941,39409,31767
1942,41587,33604
1943,40778,33708
1944,37820,31776
1945,38211,32020
1946,41283,33378
1947,40769,32699
1948,42655,34184
1949,42195,33065
1950,43720,34467
1951,45953,35835
1952,45851,35746
1953,44822,35366
1954,45787,36018
1955,46188,35848
1956,48192,37896
1957,47659,37294
1958,47050,36673
1959,50293,38919
1960,49629,38835
1961,50248,38713
1962,52378,40785
1963,53212,41682
1964,56246,44348
1965,55770,43945
1966,57795,46134
1967,57508,45195
1968,61061,48486
1969,59686,46810
1970,62828,50220
1971,61074,49576
1972,61116,48644
1973,61588,49234
1974,64299,51534
1975,60738,48283
1976,62527,50135
1977,60320,48470
1978,60281,48144
1979,59257,47311
1980,60518,48177
1981,60696,48307
1982,63295,51476
1983,60450,49634
1984,59987,49927
1985,64156,54652
1986,62210,52771
1987,63611,53710
1988,65082,54784
1989,66926,57306
1990,64660,55402
1991,64067,55079
1992,66115,57545
1993,65089,56510
1994,67464,59228
1995,66251,58882
1996,68206,60513
1997,67752,61598
1998,67073,60129
1999,67227,60875
2000,66817,61474
2001,66835,61709
2002,68885,64822
2003,68330,63962
2004,68395,64113
2005,67241,63473
2006,68556,65183
2007,70569,67285
2008,73548,70398
2009,72320,68440
2010,73484,69989
2011,75330,71602
2012,74794,72304
2013,75782,71896
2014,78341,75239
2015,81330,77722
2016,81867,76637
2017,82858,78051
2018,82320,76173
2019,88346,80955
